Benchmark,"Hardware Vendor	",System,"# Cores","# Chips","# Cores Per Chip",Result,Baseline,Published
CINT2006,"Intel Corporation","ASUS Z97-A motherboard (Intel Core i5-4690K)",4,1,4,60.2,58.2,Jun-2014
CINT2006,"Intel Corporation","ASUS Z97-A motherboard (Intel Core i7-4770K)",4,1,4,61.4,59.3,Jun-2014
CINT2006,"Intel Corporation","ASUS Z97-A motherboard (Intel Core i7-4790K)",4,1,4,67.6,65.2,Jun-2014
CINT2006,"Intel Corporation","ASUS Z97-A motherboard (Intel Core i7-4790K)",4,1,4,67.9,65.4,Jun-2014
CINT2006,"Intel Corporation","Alienware Area-51 M15x-R1 (Intel Core 2 Duo T9500)",2,1,2,20.2,18.3,Jan-2008
CINT2006,"Intel Corporation","Alienware Area-51 M15x-R1 (Intel Core 2 Extreme X7900)",2,1,2,19.8,18.3,Jan-2008
CINT2006,"Intel Corporation","Alienware Area-51 M15x-R1 (Intel Core 2 Extreme X9000)",2,1,2,20.7,19,Jan-2008
CINT2006,"Intel Corporation","Asus P5E3 Deluxe (Intel Core 2 Duo E6850)",2,1,2,23,21.3,Nov-2007
CINT2006,"Intel Corporation","Asus P5E3 Deluxe (Intel Core 2 Extreme QX6850)",4,1,4,23.6,21.6,Nov-2007
CINT2006,"Intel Corporation","Asus P5E3 Deluxe (Intel Core 2 Extreme QX9650)",4,1,4,25.5,22.3,Nov-2007
CINT2006,"Intel Corporation","Asus P5E3 Pro motherboard (Intel Core 2 Duo E8600)",2,1,2,28.1,27,Mar-2010
CINT2006,"Intel Corporation","Asus P5E3 Pro motherboard (Intel Core 2 Extreme QX9770)",4,1,4,28.4,27.3,Mar-2010
CINT2006,"Intel Corporation","Intel D975XBX motherboard (3.73 GHz, Intel Pentium processor Extreme Edition 965)",2,1,2,0,11.7,Aug-2006
CINT2006,"Intel Corporation","Intel D975XBX2 motherboard (Intel Core 2 Quad QX6800)",4,1,4,22.1,20.2,Nov-2007
CINT2006,"Intel Corporation","Intel DG965SS motherboard (1.8 GHz, Intel Core 2 Duo processor E4300)",2,1,2,0,11.4,Feb-2007
CINT2006,"Intel Corporation","Intel DG965SS motherboard (2.66 GHz, Intel Pentium D processor 805)",2,1,2,0,8.08,Feb-2007
CINT2006,"Intel Corporation","Intel DG965WH motherboard (1.86 GHz, Intel Core 2 Duo processor E6300)",2,1,2,0,12.3,Feb-2007
CINT2006,"Intel Corporation","Intel DG965WH motherboard (2.13 GHz, Intel Core 2 Duo processor E6400)",2,1,2,0,13.6,Feb-2007
CINT2006,"Intel Corporation","Intel DG965WH motherboard (2.40 GHz, Intel Core 2 Duo processor E6600)",2,1,2,0,15.8,Feb-2007
CINT2006,"Intel Corporation","Intel DG965WH motherboard (2.67 GHz, Intel Core 2 Duo processor E6700)",2,1,2,0,17.1,Feb-2007
CINT2006,"Intel Corporation","Intel DG965WH motherboard (2.8 GHz, Intel Pentium D processor 920)",2,1,2,0,9.31,Feb-2007
CINT2006,"Intel Corporation","Intel DG965WH motherboard (2.93 GHz, Intel Core 2 Extreme processor X6800)",2,1,2,0,18.5,Sep-2006
CINT2006,"Intel Corporation","Intel DG965WH motherboard (3.0 GHz, Intel Pentium D processor 930)",2,1,2,0,9.85,Feb-2007
CINT2006,"Intel Corporation","Intel DG965WH motherboard (3.2 GHz, Intel Pentium D processor 940)",2,1,2,0,10.4,Feb-2007
CINT2006,"Intel Corporation","Intel DG965WH motherboard (3.4 GHz, Intel Pentium D processor 950)",2,1,2,0,10.9,Feb-2007
CINT2006,"Intel Corporation","Intel DG965WH motherboard (3.60 GHz, Intel Pentium D processor 960)",2,1,2,0,11.4,Feb-2007
