Company,Processor,Date,,Tran,Cores,Freq,TDP,Scaled,MIPS,S92,S95,S00,S06
,,,,10^6,,(MHZ),(W),Perf,,0.74,0.02,10.63,0.0064
Intel,4004,1971-11-01,1971.92,0.0023,1,0.7,0.45,0.000012,0.01,-,-,-,-
Intel,8008,1972-04-01,1972.33,0.0035,1,0.5,0.42,0.000012,0.01,-,-,-,-
Intel,8080,1974-04-01,1974.33,0.006,1,2,0.92,0.000149,0.12,-,-,-,-
Intel,8088,1979-06-01,1979.50,0.029,1,5,1.7,0.000212,0.17,-,-,-,-
Intel,286,1982-02-01,1982.17,0.134,1,6,3,0.000560,0.45,-,-,-,-
Intel,386 DX,1985-10-01,1985.83,0.275,1,16,1.5,0.006851,5.5,-,-,-,-
Mips,R2000,1986-01-01,1986.08,0.11,1,16,3,0.000000,-,-,-,-,-
Mips,R3000,1988-06-01,1988.50,0.12,1,40,4,0.046875,-,27.9,-,-,-
Intel,486 DX,1989-04-01,1989.33,1.2,1,25,2.75,0.028226,-,16.8,-,-,-
Intel,486 DX,1990-05-01,1990.42,1.2,1,33,3.5,0.031250,-,18.6,-,-,-
Intel,486 DX2,1992-03-01,1992.25,1.2,1,66,5.8,0.050235,-,29.9,-,-,-
Mips,R4000,1992-06-01,1992.50,1.1,1,100,15,0.099126,-,59,-,-,-
Sun,SuperSparc,1992-06-01,1992.50,3.1,1,60,14.2,0.149529,-,89,-,-,-
DEC,Alpha 21064,1992-10-01,1992.83,1.7,1,200,35,0.178931,-,106.5,-,-,-
AMD,Am486,1993-03-01,1993.25,0.93,1,40,3,0.000000,-,-,-,-,-
Intel,Pentium,1993-03-01,1993.25,3.1,1,66,13,0.130880,-,77.9,-,-,-
Mips,R4600,1994-06-01,1994.50,1.9,1,150,3,0.191532,-,114,-,-,-
DEC,Alpha 21064A,1994-06-01,1994.50,2.8,1,300,28,0.338541,-,201.5,-,-,-
DEC,Alpha 21164,1995-03-01,1995.25,9.67,1,300,50,0.578272,-,-,8.5,-,-
Sun,SuperSparc II,1995-06-01,1995.50,3.1,1,90,16,0.226814,-,135,-,-,-
Sun,UltraSparc I,1995-11-01,1995.92,5.2,1,200,30,0.530650,-,-,7.8,-,-
Intel,Pentium Pro,1995-11-01,1995.92,5.5,1,200,32.6,0.551059,-,-,8.1,-,-
Mips,R5000,1996-01-01,1996.08,3.6,1,200,10,0.374176,-,-,5.5,-,-
Mips,R10000,1996-01-01,1996.08,6.8,1,200,30,0.775565,-,-,11.4,-,-
AMD,K5,1996-03-01,1996.25,4.3,1,90,11,0.000000,-,-,-,-,-
DEC,Alpha 21164A,1996-07-01,1996.58,9.67,1,500,43,1.020480,-,-,15,-,-
Sun,UltraSparc II,1997-01-01,1997.08,5.4,1,250,25,0.707533,-,-,10.4,-,-
DEC,Alpha 21164PC,1997-03-01,1997.25,3.5,1,533,36,0.972858,-,-,14.3,-,-
